,validated,accepted,committed,avg_val,avg_accep,avg_comm
768,3,8,66,,,
769,3,9,63,,,
770,4,9,91,,,
771,4,9,96,,,
772,3,8,97,,,
773,3,9,94,,,
774,4,9,65,,,
775,3,9,104,,,
776,4,9,88,,,
777,3,9,69,,,
778,4,9,67,,,
779,3,9,93,,,
780,3,9,110,,,
781,3,10,109,,,
782,3,8,63,,,
783,3,8,90,,,
784,3,8,66,,,
785,3,10,109,,,
786,3,9,86,,,
787,3,9,67,,,
788,3,9,64,,,
789,3,10,67,,,
790,3,9,66,,,
791,3,9,83,,,
792,3,9,66,,,
793,3,8,65,,,
794,4,9,106,,,
795,4,9,65,,,
796,4,9,65,,,
797,4,9,67,,,
798,4,9,68,,,
799,3,9,96,,,
800,3,9,91,,,
801,3,9,91,,,
802,4,9,68,,,
803,4,9,68,,,
804,4,9,68,,,
805,3,9,67,,,
806,4,9,89,,,
807,3,9,87,,,
808,4,9,108,,,
809,4,9,98,,,
810,3,8,114,,,
811,3,8,89,,,
812,3,9,88,,,
813,3,9,80,,,
814,3,9,97,,,
815,3,9,65,,,
816,3,9,94,,,
817,3,9,105,,,
818,3,9,66,,,
819,3,11,94,,,
820,4,10,85,,,
821,3,10,69,,,
822,4,9,66,,,
823,4,10,66,,,
824,3,9,101,,,
825,3,9,80,,,
826,3,9,90,,,
827,3,9,88,,,
828,4,10,65,,,
829,4,9,87,,,
830,4,9,67,,,
831,3,9,65,,,
832,3,8,66,,,
833,3,9,100,,,
834,4,9,66,,,
835,4,10,118,,,
836,3,9,68,,,
837,3,9,64,,,
838,4,11,65,,,
839,4,9,66,,,
840,4,9,88,,,
841,3,9,67,,,
842,4,10,95,,,
843,3,9,93,,,
844,4,9,107,,,
845,3,9,64,,,
846,3,9,86,,,
847,3,8,64,,,
848,3,8,89,,,
849,4,10,102,,,
850,3,8,66,,,
851,3,9,89,,,
852,3,9,84,,,
853,3,9,92,,,
854,4,10,66,,,
855,3,8,89,,,
856,4,10,109,,,
857,4,9,66,,,
858,4,9,68,,,
859,4,9,97,,,
860,3,9,63,,,
861,3,9,66,,,
862,3,9,69,,,
863,3,9,91,,,
864,3,9,65,,,
865,3,9,113,,,
866,3,9,66,,,
867,3,9,67,,,
868,3,8,65,,,
869,3,9,68,,,
870,3,8,91,,,
871,3,9,108,,,
872,3,9,94,,,
873,3,9,87,,,
874,4,9,92,,,
875,3,8,98,,,
876,3,9,65,,,
877,3,9,67,,,
878,4,10,68,,,
879,3,9,69,,,
880,4,10,64,,,
881,3,8,67,,,
882,3,9,67,,,
883,3,9,66,,,
884,3,9,92,,,
885,3,9,93,,,
886,3,9,90,,,
887,3,8,101,,,
888,3,9,67,,,
889,3,9,97,,,
890,4,10,100,,,
891,3,9,99,,,
892,3,9,84,,,
893,3,9,67,,,
894,3,8,66,,,
895,3,9,66,,,
896,3,9,65,,,
897,3,9,68,,,
898,3,9,68,,,
899,3,9,83,,,
900,3,9,66,,,
901,3,9,98,,,
902,3,9,110,,,
903,3,9,65,,,
904,3,9,92,,,
905,3,8,66,,,
906,4,9,94,,,
907,3,9,104,,,
908,4,9,97,,,
909,3,9,91,,,
910,3,8,103,,,
911,3,8,65,,,
912,3,9,67,,,
913,3,9,97,,,
914,4,9,88,,,
915,3,9,63,,,
916,3,9,69,,,
917,3,9,66,,,
918,3,9,87,,,
919,3,8,99,,,
920,4,10,69,,,
921,3,9,109,,,
922,3,9,66,,,
923,3,9,68,,,
924,3,8,64,,,
925,4,10,104,,,
926,3,9,66,,,
927,4,9,68,,,
928,3,9,65,,,
929,3,9,63,,,
930,3,9,89,,,
931,3,9,67,,,
932,4,10,64,,,
933,4,10,67,,,
934,3,9,68,,,
935,3,8,87,,,
936,3,9,66,,,
937,3,8,100,,,
938,3,9,67,,,
939,3,8,91,,,
940,3,9,67,,,
941,3,9,100,,,
942,4,10,67,,,
943,3,9,86,,,
944,4,9,74,,,
945,3,9,87,,,
946,3,9,65,,,
947,3,8,64,,,
948,4,10,68,,,
949,4,9,88,,,
950,3,9,91,,,
951,3,9,99,,,
952,3,9,65,,,
953,3,9,100,,,
954,3,9,89,,,
955,4,10,88,,,
956,4,9,104,,,
957,3,9,110,,,
958,4,10,94,,,
959,3,9,102,,,
960,3,9,94,,,
961,3,9,66,,,
962,3,9,79,,,
963,3,9,64,,,
964,4,9,64,,,
965,3,8,65,,,
966,4,10,92,,,
967,3,9,65,,,
968,4,9,104,,,
969,4,9,100,,,
970,3,9,96,,,
971,4,9,86,,,
972,4,9,95,,,
973,3,9,101,,,
974,3,10,110,,,
975,3,9,99,,,
976,3,9,219,,,
977,3,9,95,,,
978,3,9,95,,,
979,4,9,89,,,
980,4,10,101,,,
981,4,10,94,,,
982,3,8,63,,,
983,4,10,65,,,
984,3,8,95,,,
985,4,10,89,,,
986,4,10,67,,,
987,4,10,117,,,
988,3,9,98,,,
989,3,9,101,,,
990,3,8,69,,,
991,3,9,96,,,
992,3,9,99,,,
993,3,9,93,,,
994,3,9,88,,,
995,3,9,97,,,
996,3,9,83,,,
997,3,9,101,,,
998,3,9,93,,,
999,4,10,92,,,
1000,4,11,123,,,
1001,3,9,65,,,
1002,3,9,92,,,
1003,3,9,66,,,
1004,3,9,64,,,
1005,3,9,64,,,
1006,3,9,92,,,
1007,3,9,100,,,
1008,3,9,87,,,
1009,3,9,105,,,
1010,3,9,96,,,
1011,3,8,65,,,
1012,3,8,101,,,
1013,3,9,91,,,
1014,3,8,85,,,
1015,3,8,65,,,
1016,3,9,67,,,
1017,3,9,65,,,
1018,3,10,116,,,
1019,3,9,90,,,
1020,4,9,68,,,
1021,3,8,89,,,
1022,3,9,66,,,
1023,3,9,103,,,
1024,3,9,64,,,
1025,3,8,65,,,
1026,3,9,68,,,
1027,3,9,66,,,
1028,3,8,64,,,
1029,3,9,93,,,
1030,3,9,67,,,
1031,4,9,65,,,
1032,4,10,66,,,
1033,4,10,104,,,
1034,3,9,86,,,
1035,3,9,65,,,
1036,4,10,68,,,
1037,4,9,65,,,
1038,3,8,86,,,
1039,4,9,68,,,
1040,3,9,65,,,
1041,4,10,67,,,
1042,3,9,65,,,
1043,3,9,102,,,
1044,4,10,104,,,
1045,3,8,101,,,
1046,3,9,65,,,
1047,4,10,82,,,
1048,3,9,67,,,
1049,4,10,69,,,
1050,4,10,66,,,
1051,4,9,67,,,
1052,4,9,65,,,
1053,4,9,91,,,
1054,3,10,90,,,
1055,4,11,70,,,
1056,3,8,86,,,
1057,3,9,90,,,
1058,3,10,95,,,
1059,3,9,66,,,
1060,3,9,65,,,
1061,3,9,66,,,
1062,3,9,67,,,
1063,3,8,68,,,
1064,3,8,106,,,
1065,3,9,90,,,
1066,3,9,83,,,
1067,3,9,66,,,
1068,4,10,109,,,
1069,4,9,95,,,
1070,4,9,66,,,
1071,3,9,88,,,
1072,3,9,94,,,
1073,3,9,85,,,
1074,3,9,66,,,
1075,3,9,66,,,
1076,4,10,110,,,
1077,3,9,114,,,
1078,3,8,64,,,
1079,3,9,96,,,
1080,3,9,68,,,
1081,3,9,126,,,
1082,4,9,100,,,
1083,3,8,104,,,
1084,3,9,67,,,
1085,3,9,87,,,
1086,3,9,88,,,
1087,3,8,90,,,
1088,3,9,88,,,
1089,3,9,91,,,
1090,3,9,94,,,
1091,4,10,68,,,
1092,4,10,68,,,
1093,3,9,65,,,
1094,3,9,68,,,
1095,3,8,111,,,
1096,3,9,65,,,
1097,3,9,78,,,
1098,4,9,63,,,
1099,4,10,95,,,
1100,3,8,65,,,
1101,4,10,65,,,
1102,4,9,79,,,
1103,3,8,91,,,
1104,3,9,64,,,
1105,3,9,64,,,
1106,4,9,85,,,
1107,3,9,88,,,
1108,3,9,97,,,
1109,4,9,104,,,
1110,3,8,63,,,
1111,3,10,96,,,
1112,3,9,87,,,
1113,4,9,65,,,
1114,3,9,65,,,
1115,3,9,82,,,
1116,3,8,66,,,
1117,4,9,65,,,
1118,3,9,64,,,
1119,3,9,89,,,
1120,3,9,90,,,
1121,3,10,67,,,
1122,3,9,94,,,
1123,3,9,68,,,
1124,3,9,65,,,
1125,3,8,106,,,
1126,3,9,87,,,
1127,3,8,64,,,
1128,3,9,242,,,
1129,3,8,99,,,
1130,3,9,85,,,
1131,4,12,108,,,
1132,3,10,65,,,
1133,3,9,90,,,
1134,3,8,100,,,
1135,3,9,66,,,
1136,3,9,115,,,
1137,3,9,67,,,
1138,3,9,68,,,
1139,3,9,66,,,
1140,4,9,89,,,
1141,3,8,67,,,
1142,3,9,67,,,
1143,3,8,97,,,
1144,3,9,67,,,
1145,3,9,92,,,
1146,3,9,95,,,
1147,4,9,68,,,
1148,3,8,66,,,
1149,4,9,68,,,
1150,3,9,99,,,
1151,3,8,100,,,
1152,4,9,65,,,
1153,3,9,95,,,
1154,3,9,64,,,
1155,3,8,99,,,
1156,3,9,64,,,
1157,3,9,96,,,
1158,3,8,65,,,
1159,3,9,82,,,
1160,4,10,67,,,
1161,4,9,68,,,
1162,4,10,111,,,
1163,3,9,67,,,
1164,3,9,63,,,
1165,4,9,66,,,
1166,3,8,64,,,
1167,4,10,95,,,
1168,3,9,64,,,
1169,4,9,64,,,
1170,3,8,105,,,
1171,4,9,100,,,
1172,3,10,66,,,
1173,3,10,107,,,
1174,3,9,100,,,
1175,3,8,64,,,
1176,3,9,67,,,
1177,3,9,91,,,
1178,3,9,68,,,
1179,3,9,66,,,
1180,3,9,67,,,
1181,3,8,89,,,
1182,3,9,108,,,
1183,3,8,90,,,
1184,3,9,68,,,
1185,4,9,106,,,
1186,4,9,90,,,
1187,3,9,74,,,
1188,3,9,88,,,
1189,4,9,64,,,
1190,3,9,93,,,
1191,3,9,65,,,
1192,4,10,64,,,
1193,3,10,67,,,
1194,3,9,64,,,
1195,4,10,67,,,
1196,4,10,89,,,
1197,4,9,83,,,
1198,4,9,64,,,
1199,3,9,65,,,
1200,4,9,88,,,
1201,3,9,89,,,
1202,3,9,106,,,
1203,3,9,88,,,
1204,3,9,69,,,
1205,3,9,65,,,
1206,3,9,70,,,
1207,4,9,67,,,
1208,3,9,96,,,
1209,4,10,89,,,
1210,4,9,65,,,
1211,3,8,91,,,
1212,3,8,88,,,
1213,3,9,66,,,
1214,3,9,68,,,
1215,4,10,66,,,
1216,3,9,65,,,
1217,3,9,65,,,
1218,3,9,104,,,
1219,3,9,107,,,
1220,3,9,66,,,
1221,3,9,89,,,
1222,4,9,67,,,
1223,3,10,66,,,
1224,3,8,63,,,
1225,3,9,65,,,
1226,3,8,88,,,
1227,3,8,84,,,
1228,4,9,66,,,
1229,3,9,97,,,
1230,3,9,101,,,
1231,4,9,97,,,
1232,3,9,64,,,
1233,3,9,75,,,
1234,3,10,68,,,
1235,3,9,67,,,
1236,4,9,65,,,
1237,3,9,94,,,
1238,3,9,64,,,
