,validated,accepted,committed, ,avg_accep,avg_comm
596,10,22,82,,,
597,11,22,83,,,
598,11,23,83,,,
599,11,23,111,,,
600,11,23,91,,,
601,10,23,106,,,
602,10,22,85,,,
603,10,22,110,,,
604,9,21,129,,,
605,11,23,85,,,
606,12,25,87,,,
607,10,21,102,,,
608,10,21,112,,,
609,10,22,82,,,
610,11,25,91,,,
611,9,21,83,,,
612,11,23,85,,,
613,10,23,106,,,
614,11,23,82,,,
615,9,21,81,,,
616,10,22,123,,,
617,12,25,88,,,
618,11,23,85,,,
619,10,21,80,,,
620,12,24,84,,,
621,12,23,99,,,
622,11,23,85,,,
623,11,23,84,,,
624,11,23,83,,,
625,13,26,89,,,
626,11,22,83,,,
627,9,21,81,,,
628,11,23,87,,,
629,10,21,81,,,
630,10,23,85,,,
631,11,23,111,,,
632,11,22,83,,,
633,10,23,88,,,
634,8,19,107,,,
635,10,22,85,,,
636,9,21,122,,,
637,10,22,121,,,
638,10,23,84,,,
639,11,23,110,,,
640,10,22,85,,,
641,11,23,85,,,
642,11,23,83,,,
643,11,22,84,,,
644,10,22,84,,,
645,12,25,93,,,
646,10,21,81,,,
647,11,22,83,,,
648,10,24,106,,,
649,10,22,110,,,
650,10,22,82,,,
651,11,23,135,,,
652,11,22,121,,,
653,9,20,97,,,
654,10,26,96,,,
655,11,24,116,,,
656,11,24,85,,,
657,10,21,112,,,
658,11,22,83,,,
659,11,22,110,,,
660,9,1790,1898,,,
661,11,24,83,,,
662,11,23,85,,,
663,10,21,112,,,
664,11,24,124,,,
665,11,23,85,,,
666,10,22,112,,,
667,10,23,86,,,
668,11,24,111,,,
669,10,22,109,,,
670,10,21,84,,,
671,11,23,85,,,
672,11,23,84,,,
673,12,24,88,,,
674,11,23,85,,,
675,9,21,80,,,
676,10,21,102,,,
677,11,24,88,,,
678,10,22,86,,,
679,9,21,82,,,
680,9,21,81,,,
681,10,22,82,,,
682,11,23,85,,,
683,11,24,85,,,
684,9,21,82,,,
685,11,23,104,,,
686,11,24,83,,,
687,11,22,81,,,
688,12,24,120,,,
689,11,24,86,,,
690,11,46,147,,,
691,10,22,84,,,
692,10,23,113,,,
693,11,22,119,,,
694,10,23,87,,,
695,9,21,84,,,
696,9,22,85,,,
697,11,1136,1239,,,
698,10,22,83,,,
699,9,22,83,,,
700,10,22,83,,,
701,11,23,83,,,
702,10,21,111,,,
703,10,22,81,,,
704,10,23,85,,,
705,11,22,83,,,
706,10,22,118,,,
707,11,22,83,,,
708,9,21,103,,,
709,11,22,82,,,
710,11,22,84,,,
711,11,22,84,,,
712,11,22,85,,,
713,9,21,83,,,
714,10,22,83,,,
715,10,22,84,,,
716,9,22,82,,,
717,11,23,83,,,
718,10,21,84,,,
719,11,23,83,,,
720,10,22,121,,,
